signal,momentum_12_1_sector_neutral,momentum_6_1_sector_neutral,return_3m_sector_neutral,return_1m_sector_neutral,return_1w_sector_neutral,reversal_1m_sector_neutral,volatility_20d_sector_neutral,volatility_60d_sector_neutral,downside_volatility_60d_sector_neutral,beta_60d_market_sector_neutral,max_drawdown_126d_sector_neutral,distance_sma_50d_sector_neutral,distance_sma_200d_sector_neutral,sma_50_200_spread_sector_neutral,positive_day_ratio_60d_sector_neutral,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral
momentum_12_1_sector_neutral,1.0,0.6412212885154063,0.2879199679871949,-0.02331012404961984,0.027366146458583433,0.02331012404961984,0.055423769507803124,0.0529875950380152,-0.025813525410164066,0.177234093637455,0.34770548219287717,0.11642256902761104,0.5911900760304121,0.7313213285314126,0.2343132644493261,0.11019767907162864,0.062084033613445375,-0.0262360944377751,0.0
momentum_6_1_sector_neutral,0.6412212885154063,1.0,0.466099166939503,-0.008509585652442796,0.0023864091090981796,0.008509585652442796,0.0006518971224853553,-0.0014813198006475364,-0.1498141074611663,0.08359998544872495,0.4631860016733967,0.18662737822401684,0.7536492692315021,0.9033365727243278,0.28668413007644816,0.08151769798828623,0.07698934119102185,-0.030573684019062162,0.0
return_3m_sector_neutral,0.2879199679871949,0.466099166939503,1.0,0.5417492214277015,0.2153884162360596,-0.5417492214277015,0.0024336691198218407,0.03398716008142387,-0.3240217826260939,0.044803312629399586,0.2714802284550183,0.7344941454842806,0.780331180091084,0.5451620648259302,0.49145034998114034,0.04631348191450492,0.10480644431685716,-0.0010988743323416348,0.0
return_1m_sector_neutral,-0.02331012404961984,-0.008509585652442796,0.5417492214277015,1.0,0.42739732512723394,-0.9999999999999998,0.026580322269752977,0.02926016120734008,-0.19353661464585833,0.019571257074258275,0.09730728655098402,0.8467679643285886,0.4854048285981059,0.11686274509803922,0.275254825834889,0.010336303535498708,0.0776937060538501,0.038495849043842886,0.0
return_1w_sector_neutral,0.027366146458583433,0.0023864091090981796,0.2153884162360596,0.42739732512723394,1.0,-0.42739732512723394,0.033881552621048416,0.030920253815812045,-0.06341004973417941,0.0014227405247813432,0.019779548182909532,0.4323237866575201,0.2259227500524019,0.02531679338402028,0.13403906797393625,-0.004763238628784854,0.0121817870005145,0.03730825663598772,0.0
reversal_1m_sector_neutral,0.02331012404961984,0.008509585652442796,-0.5417492214277015,-0.9999999999999998,-0.42739732512723394,1.0,-0.026580322269752977,-0.02926016120734008,0.19353661464585833,-0.019571257074258275,-0.09730728655098402,-0.8467679643285886,-0.4854048285981059,-0.11686274509803922,-0.275254825834889,-0.010336303535498708,-0.0776937060538501,-0.038495849043842886,0.0
volatility_20d_sector_neutral,0.055423769507803124,0.0006518971224853553,0.0024336691198218407,0.026580322269752977,0.033881552621048416,-0.026580322269752977,1.0,0.751012176299091,0.6749332876007544,0.5420874635568513,-0.4745709192768016,-0.0037797976333390493,-0.004545056117685166,-0.0063667371710589065,-0.11997855465147327,0.22303054555155397,0.2927909449494083,0.2534440442843804,0.0
volatility_60d_sector_neutral,0.0529875950380152,-0.0014813198006475364,0.03398716008142387,0.02926016120734008,0.030920253815812045,-0.02926016120734008,0.751012176299091,1.0,0.8266712399245412,0.6620737437832277,-0.5975233729855578,0.027940318984736753,0.005157872672878666,-0.016273938146687244,-0.12488771510795134,0.21178116961070143,0.006973760932944607,0.21599999999999997,0.0
downside_volatility_60d_sector_neutral,-0.025813525410164066,-0.1498141074611663,-0.3240217826260939,-0.19353661464585833,-0.06341004973417941,0.19353661464585833,0.6749332876007544,0.8266712399245412,1.0,0.593083862116275,-0.6431561715595328,-0.26962099125364436,-0.27569961317860475,-0.18754854322681455,-0.17621141861416664,0.17812793688904133,-0.00021540044589263762,0.20273846681529753,0.0
beta_60d_market_sector_neutral,0.177234093637455,0.08359998544872495,0.044803312629399586,0.019571257074258275,0.0014227405247813432,-0.019571257074258275,0.5420874635568513,0.6620737437832277,0.593083862116275,1.0,-0.3402684710247736,0.022013376779283132,0.09579984374702265,0.10218716057851711,-0.03798642553031816,0.12759252272337507,0.013406962785114043,0.22314251414851655,0.0
