model_name,year,months,valid_ic_months,mean_ic,median_ic,positive_ic_ratio,mean_top_bottom_spread,mean_top_quintile_precision,mean_top_quintile_turnover
constant,2020,12,0,,,,,,
constant,2021,12,0,,,,,,
constant,2022,12,0,,,,,,
constant,2023,12,0,,,,,,
constant,2024,12,0,,,,,,
constant,2025,12,0,,,,,,
constant,2026,5,0,,,,,,
elastic_net,2020,12,12,0.07856742697078829,0.09397358943577425,0.75,0.025644362800092163,0.3166666666666667,0.2727272727272726
elastic_net,2021,12,12,0.03938375350140053,0.014165666266506598,0.5,0.004373236891478641,0.27499999999999997,0.26666666666666655
elastic_net,2022,12,10,-0.04053781512605042,-0.04480192076830735,0.5,-0.01168201528138897,0.19,0.2777777777777778
elastic_net,2023,12,12,0.03951180472188876,-0.01671068427370945,0.4166666666666667,0.01907042465450314,0.2416666666666667,0.25833333333333325
elastic_net,2024,12,12,0.09338135254101639,0.1258103241296518,0.75,0.022694991516224814,0.3083333333333333,0.25833333333333325
elastic_net,2025,12,12,0.03788715486194475,0.020840336134453748,0.5833333333333334,0.009613086318286076,0.2833333333333334,0.28333333333333327
elastic_net,2026,5,4,-0.0790396158463385,-0.12062424969987995,0.25,-0.019855730952366597,0.15,0.2666666666666666
lightgbm_regressor,2020,12,12,0.09114491615221025,0.1112605042016806,0.8333333333333334,0.023953591670197148,0.26666666666666666,0.3636363636363636
lightgbm_regressor,2021,12,12,0.02631732656067079,0.02400960384153655,0.5833333333333334,0.0027901750339082744,0.2333333333333334,0.49999999999999994
lightgbm_regressor,2022,12,12,0.025512850900403006,0.022095819024756602,0.5,0.003625137129045282,0.2333333333333333,0.5
lightgbm_regressor,2023,12,12,0.025262193327153102,0.0522929171668667,0.5833333333333334,0.016387693480739932,0.28333333333333327,0.2749999999999999
lightgbm_regressor,2024,12,12,0.06964239938191076,0.0659898575746492,0.5833333333333334,0.014626918225205668,0.2416666666666667,0.3416666666666666
lightgbm_regressor,2025,12,12,-0.12724508401788523,-0.1502506771040913,0.16666666666666666,-0.022304840510481927,0.19166666666666668,0.4833333333333332
lightgbm_regressor,2026,5,5,-0.029688588772715796,-0.0797349732422946,0.4,-0.010073217868188098,0.18,0.5
momentum_3m,2020,12,12,0.07385354141656661,0.09757503001200475,0.6666666666666666,0.04199530722129425,0.29166666666666663,0.3
momentum_3m,2021,12,12,-0.02453781512605041,-0.10420168067226884,0.4166666666666667,0.00727416996196821,0.225,0.39166666666666666
momentum_3m,2022,12,12,-0.0703481392557023,-0.08398559423769505,0.4166666666666667,-0.018940499270478504,0.16666666666666666,0.525
momentum_3m,2023,12,12,-0.00817126850740295,0.0015846338535414502,0.5,-0.0012946530612472334,0.19166666666666668,0.5333333333333333
momentum_3m,2024,12,12,0.028403361344537817,0.025594237695078,0.5833333333333334,0.010786854893879249,0.25,0.42500000000000004
momentum_3m,2025,12,12,-0.016494597839135674,0.024969987995198048,0.5833333333333334,-0.0021324504001710154,0.225,0.44999999999999996
momentum_3m,2026,5,5,-0.030223289315726275,-0.0200240096038415,0.4,-0.020450833702995577,0.21999999999999997,0.45999999999999996
ridge,2020,12,12,0.08507402961184468,0.07836734693877545,0.8333333333333334,0.023873926508802355,0.3083333333333333,0.3818181818181818
ridge,2021,12,12,0.044209683873549406,-0.01565426170468185,0.4166666666666667,0.003901995148101484,0.27499999999999997,0.2666666666666666
ridge,2022,12,12,-0.017535014005602218,-0.023001200480192004,0.4166666666666667,-0.004029763715395977,0.19999999999999996,0.2249999999999999
ridge,2023,12,12,0.03963985594237695,-0.00633853541416565,0.5,0.02189238828840863,0.25000000000000006,0.2666666666666666
ridge,2024,12,12,0.01599039615846341,-0.0167106842737095,0.5,0.013722728756848018,0.25000000000000006,0.2916666666666666
ridge,2025,12,12,-0.018271308523409368,0.009219687875150099,0.5,-5.5726220057349236e-05,0.25833333333333336,0.2833333333333332
ridge,2026,5,5,-0.05352220888355336,-0.080048019207683,0.2,0.003570064589641339,0.18,0.38
technical_equal_weight_composite,2020,12,12,0.0089155662264906,0.0303001200480192,0.5,0.006696152318100925,0.25000000000000006,0.41818181818181815
technical_equal_weight_composite,2021,12,12,0.05625450180072027,0.0713565426170468,0.6666666666666666,0.019493297494111644,0.27499999999999997,0.4416666666666668
technical_equal_weight_composite,2022,12,12,0.0961264505802321,0.0684753901560624,0.5833333333333334,0.01609256082691234,0.23333333333333336,0.44999999999999996
technical_equal_weight_composite,2023,12,12,0.02029611844737895,-0.0242016806722689,0.4166666666666667,0.006456945659809833,0.21666666666666665,0.4666666666666666
technical_equal_weight_composite,2024,12,12,0.03515006002400958,0.0292917166866746,0.6666666666666666,0.02157175236386495,0.25,0.4916666666666667
technical_equal_weight_composite,2025,12,12,0.015398159263705477,0.004849939975990401,0.5,-0.00025185916940217583,0.26666666666666666,0.4416666666666667
technical_equal_weight_composite,2026,5,5,0.01802641056422568,-0.0157022809123649,0.4,0.0009638830524406796,0.13999999999999999,0.42000000000000004
