dimension,condition,strategy_name,months,mean_monthly_return,median_monthly_return,mean_spy_monthly_return,mean_excess_monthly_return,positive_month_ratio,outperform_spy_ratio
market_direction,down_market_month,alpha_risk_turnover,27,-0.03658982852488963,-0.030928572390684805,-0.04107113648914913,0.004481307964259491,0.1111111111111111,0.6296296296296297
market_direction,down_market_month,cvar,27,-0.0391820092426624,-0.03561022215216014,-0.04107113648914913,0.0018891272464867227,0.1111111111111111,0.6296296296296297
market_direction,down_market_month,median_mad_de,27,-0.03529298938396084,-0.029323515947851875,-0.04107113648914913,0.005778147105188285,0.07407407407407407,0.7037037037037037
market_direction,down_market_month,score_weighted,27,-0.03854936316196601,-0.031231858694343417,-0.04107113648914913,0.0025217733271831046,0.1111111111111111,0.6296296296296297
market_direction,down_market_month,top_n_equal_weight,27,-0.03845488625994706,-0.032285241500652484,-0.04107113648914913,0.002616250229202068,0.1111111111111111,0.6296296296296297
market_direction,up_market_month,alpha_risk_turnover,50,0.04675794710660327,0.039617073875007236,0.04277019090827249,0.003987756198330794,0.96,0.52
market_direction,up_market_month,cvar,50,0.04738599484848907,0.04201476224264633,0.04277019090827249,0.004615803940216588,0.96,0.54
market_direction,up_market_month,median_mad_de,50,0.04696829631120421,0.03835754358452337,0.04277019090827249,0.004198105402931738,0.96,0.58
market_direction,up_market_month,score_weighted,50,0.051313575178580775,0.04217483150041845,0.04277019090827249,0.008543384270308284,0.98,0.72
market_direction,up_market_month,top_n_equal_weight,50,0.04989770196448886,0.04161992436388051,0.04277019090827249,0.007127511056216376,1.0,0.68
volatility_regime,high_volatility_month,alpha_risk_turnover,20,-0.0020057784351789343,-0.02480315057646204,-0.0092169178469516,0.0072111394117726655,0.45,0.75
volatility_regime,high_volatility_month,cvar,20,-0.003384870975423887,-0.026512450805667276,-0.0092169178469516,0.005832046871527713,0.4,0.6
volatility_regime,high_volatility_month,median_mad_de,20,-0.0012178291746747449,-0.020662550445017913,-0.0092169178469516,0.007999088672276855,0.45,0.8
volatility_regime,high_volatility_month,score_weighted,20,-0.002715664776353438,-0.022696453821795748,-0.0092169178469516,0.006501253070598162,0.45,0.7
volatility_regime,high_volatility_month,top_n_equal_weight,20,-0.002968133801796369,-0.025380448311650428,-0.0092169178469516,0.006248784045155231,0.45,0.7
volatility_regime,normal_volatility_month,alpha_risk_turnover,57,0.024387500944942502,0.020964408011026725,0.021296968721853157,0.0030905322230893447,0.7368421052631579,0.49122807017543857
volatility_regime,normal_volatility_month,cvar,57,0.024194437059316606,0.02146009538482274,0.021296968721853157,0.0028974683374634494,0.7543859649122807,0.5614035087719298
volatility_regime,normal_volatility_month,median_mad_de,57,0.024909836590995847,0.0274651801731427,0.021296968721853157,0.003612867869142693,0.7192982456140351,0.5614035087719298
volatility_regime,normal_volatility_month,score_weighted,57,0.027704548229526747,0.032440721456651556,0.021296968721853157,0.006407579507673592,0.7543859649122807,0.6842105263157895
volatility_regime,normal_volatility_month,top_n_equal_weight,57,0.02659589202178596,0.02795590676478299,0.021296968721853157,0.0052989232999328065,0.7719298245614035,0.6491228070175439
